Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,Yes,Travel_Rarely,750,Research & Development,6,5,Life Sciences,1,1,3,Male,48,1,2,Human Resources,3,Divorced,17964,8867,3,Y,No,11,3,3,80,0,8,3,3,30,4,5,11
46,No,Travel_Rarely,1492,Research & Development,28,2,Life Sciences,1,2,3,Female,67,1,2,Manager,4,Married,11672,16299,6,Y,Yes,17,3,2,80,0,14,3,4,19,2,1,4
32,No,Travel_Rarely,1126,Sales,5,4,Other,1,3,3,Male,35,2,2,Research Scientist,4,Married,14976,5906,8,Y,No,12,3,1,80,1,22,1,2,3,3,3,0
60,No,Travel_Rarely,1169,Research & Development,3,2,Other,1,4,1,Female,44,2,1,Laboratory Technician,4,Divorced,16017,24769,4,Y,No,25,3,3,80,2,21,5,3,18,9,3,6
25,No,Travel_Rarely,840,Research & Development,12,3,Human Resources,1,5,3,Male,76,3,1,Research Scientist,4,Divorced,8777,24463,7,Y,No,21,3,3,80,2,35,3,3,9,9,9,9
38,No,Travel_Frequently,1223,Research & Development,15,3,Medical,1,6,3,Male,74,2,2,Sales Executive,3,Married,6144,20675,6,Y,Yes,18,3,4,80,0,9,3,3,19,18,12,13
56,No,Travel_Rarely,1390,Research & Development,10,1,Technical Degree,1,7,3,Male,34,4,1,Sales Executive,2,Married,15081,23389,4,Y,No,22,3,2,80,3,27,2,3,5,0,5,2
36,No,Travel_Rarely,241,Sales,26,4,Life Sciences,1,8,4,Male,82,4,1,Sales Executive,4,Married,9298,16445,2,Y,No,12,3,3,80,0,34,4,3,0,0,0,0
40,No,Travel_Rarely,1362,Research & Development,20,1,Life Sciences,1,9,3,Female,95,4,2,Healthcare Representative,3,Married,19032,2994,2,Y,No,14,3,1,80,1,28,3,3,11,11,11,5
28,Yes,Travel_Rarely,1075,Research & Development,19,3,Medical,1,10,2,Male,91,4,2,Laboratory Technician,2,Married,7452,18670,5,Y,No,12,3,3,80,0,4,0,3,9,6,9,9
28,No,Non-Travel,1118,Research & Development,16,4,Medical,1,11,3,Male,52,3,1,Research Scientist,3,Married,5851,4864,9,Y,No,23,3,3,80,2,3,3,2,36,7,6,1
41,Yes,Travel_Rarely,1054,Human Resources,28,4,Life Sciences,1,12,3,Male,73,3,2,Healthcare Representative,1,Single,5036,13634,3,Y,No,17,3,4,80,2,14,6,4,1,1,1,1
53,No,Travel_Rarely,1005,Sales,11,2,Life Sciences,1,13,3,Male,81,2,2,Manager,4,Married,1269,7274,2,Y,Yes,15,3,3,80,1,29,2,3,13,13,10,13
57,No,Non-Travel,173,Sales,8,3,Life Sciences,1,14,1,Male,75,3,1,Human Resources,2,Married,10136,17402,3,Y,No,23,3,3,80,1,25,1,3,7,7,7,7
41,No,Travel_Frequently,1315,Research & Development,3,4,Medical,1,15,3,Male,48,4,4,Manufacturing Director,2,Divorced,19190,19428,2,Y,No,21,3,2,80,0,22,3,3,5,0,5,5
20,No,Travel_Rarely,1393,Sales,23,2,Technical Degree,1,16,4,Male,76,4,1,Laboratory Technician,4,Divorced,17724,8773,9,Y,Yes,23,3,4,80,1,38,3,3,21,15,6,16
39,No,Travel_Frequently,1446,Human Resources,7,3,Medical,1,17,3,Male,81,3,3,Research Scientist,4,Married,5219,5700,5,Y,Yes,21,3,1,80,1,28,4,2,22,3,1,16
19,No,Non-Travel,208,Human Resources,23,2,Life Sciences,1,18,4,Male,53,3,1,Research Scientist,4,Married,19452,16772,6,Y,No,19,3,3,80,0,21,4,3,16,5,7,1
41,No,Travel_Rarely,1357,Sales,29,3,Medical,1,19,4,Female,46,2,4,Sales Executive,3,Single,1081,23516,3,Y,No,15,3,4,80,2,34,2,2,0,0,0,0
47,No,Travel_Rarely,1167,Research & Development,7,4,Marketing,1,20,2,Female,75,1,1,Research Scientist,4,Married,6120,2351,2,Y,No,21,3,3,80,1,17,3,4,4,4,2,4
55,Yes,Travel_Rarely,984,Sales,14,3,Medical,1,21,4,Male,93,3,3,Human Resources,4,Single,3930,19699,2,Y,Yes,18,3,3,80,0,34,1,2,0,0,0,0
19,No,Travel_Rarely,240,Research & Development,2,3,Life Sciences,1,22,3,Female,57,3,1,Sales Executive,3,Single,11654,16482,2,Y,No,12,3,2,80,0,32,3,2,4,4,4,1
38,No,Travel_Rarely,716,Sales,10,3,Medical,1,23,2,Female,79,4,3,Sales Executive,4,Married,4897,19128,8,Y,No,13,3,4,80,0,6,4,4,13,9,6,3
50,No,Travel_Rarely,964,Sales,19,3,Other,1,24,3,Male,93,2,2,Sales Executive,1,Single,1186,12604,2,Y,Yes,16,3,2,80,1,33,3,2,8,4,8,7
